id,source,text,created
871677472202477568,iPhone,The Justice Dept. should ask for an expedited hearing of the watered down Travel Ban before the Supreme Court - &amp; seek much tougher version!,2017-06-05T10:37:59Z
871675245043888128,iPhone,"The Justice Dept. should have stayed with the original Travel Ban, not the watered down, politically correct version they submitted to S.C.",2017-06-05T10:29:08Z
871674214356484096,iPhone,"People, the lawyers and the courts can call it whatever they want, but I am calling it what we need and what it is, a TRAVEL BAN!",2017-06-05T10:25:02Z
871331574649901056,iPhone,Do you notice we are not having a gun debate right now? That's because they used knives and a truck!,2017-06-04T11:43:30Z
871328428963901440,iPhone,"At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ""no reason to be alarmed!""",2017-06-04T11:31:00Z
871325606901895168,iPhone,We must stop being politically correct and get down to the business of security for our people. If we don't get smart it will only get worse,2017-06-04T11:19:47Z
871145660036378624,iPhone,"Whatever the United States can do to help out in London and the U. K., we will be there - WE ARE WITH YOU. GOD BLESS!",2017-06-03T23:24:45Z
871143765473406976,iPhone,"We need to be smart, vigilant and tough. We need the courts to give us back our rights. We need the Travel Ban as an extra level of safety!",2017-06-03T23:17:13Z
870709271477932032,iPhone,"#MakeAmericaGreatAgainÌ†ºÌ∑∫Ì†ºÌ∑∏
https://t.co/eJxeVZ3A1r",2017-06-02T18:30:41Z
870445001125355522,iPhone,MAKE AMERICA GREAT AGAIN!,2017-06-02T01:00:35Z
870355056327000065,iPhone,"Join me live at the @WhiteHouse.

‚û°Ô∏èhttps://t.co/9VOb99W42r https://t.co/sjb5VHLHYH",2017-06-01T19:03:10Z
870234811616677889,iPhone,"The big story is the ""unmasking and surveillance"" of people that took place during the Obama Administration.",2017-06-01T11:05:21Z
870083798981111808,iPhone,"I will be announcing my decision on Paris Accord, Thursday at 3:00 P.M.  The White House Rose Garden.  MAKE AMERICA GREAT AGAIN!",2017-06-01T01:05:17Z
870077441401905152,iPhone,"Crooked Hillary Clinton now blames everybody but herself, refuses to say she was a terrible candidate. Hits Facebook &amp; even Dems &amp; DNC.",2017-06-01T00:40:01Z
870035383458963456,iPhone,"It was an honor to welcome the Prime Minister of Vietnam, Nguy·ªÖn Xu√¢n Ph√∫c to the @WhiteHouse this afternoon. https://t.co/6YbrIvJUCY",2017-05-31T21:52:54Z
869903459511918592,iPhone,I will be announcing my decision on the Paris Accord over the next few days. MAKE AMERICA GREAT AGAIN!,2017-05-31T13:08:41Z
869902591005741056,iPhone,"Hopefully Republican Senators, good people all, can quickly get together and pass a new (repeal &amp; replace) HEALTHCARE bill. Add saved $'s.",2017-05-31T13:05:14Z
869874798087819264,iPhone,"Kathy Griffin should be ashamed of herself. My children, especially my 11 year old son, Barron, are having a hard time with this. Sick!",2017-05-31T11:14:48Z
869867413776601088,iPhone,"...case against him &amp; now wants to clear his name by showing ""the false or misleading testimony by James Comey, John Brennan..."" Witch Hunt!",2017-05-31T10:45:27Z
869865463584620544,iPhone,"So now it is reported that the Democrats, who have excoriated Carter Page about Russia, don't want him to testify. He blows away their....",2017-05-31T10:37:42Z
869858333477523458,iPhone,"Who can figure out the true meaning of ""covfefe"" ???  Enjoy!",2017-05-31T10:09:22Z
869553853750013953,iPhone,"The U.S. Senate should switch to 51 votes, immediately, and get Healthcare and TAX CUTS approved, fast and easy. Dems would do it, no doubt!",2017-05-30T13:59:28Z
869509894688387072,iPhone,Russian officials must be laughing at the U.S. &amp; how a lame excuse for why the Dems lost the election has taken over the Fake News.,2017-05-30T11:04:48Z
869503804307275776,iPhone,"We have a MASSIVE trade deficit with Germany, plus they pay FAR LESS than they should on NATO &amp; military. Very bad for U.S. This will change",2017-05-30T10:40:36Z
869170615881793536,iPhone,I look forward to paying my respects to our brave men and women on this Memorial Day at Arlington National Cemetery later this morning.,2017-05-29T12:36:37Z
869170351049240576,iPhone,"Today we remember the men and women who made the ultimate sacrifice in serving. Thank you, God bless your families &amp; God bless the USA!",2017-05-29T12:35:34Z
869166145894535169,iPhone,"North Korea has shown great disrespect for their neighbor, China, by shooting off yet another ballistic missile...but China is trying hard!",2017-05-29T12:18:52Z
869164414662049793,iPhone,"Honoring the men and women who made the ultimate sacrifice in service to America. Home of the free, because of the brave. #MemorialDayÌ†ºÌ∑∫Ì†ºÌ∑∏",2017-05-29T12:11:59Z
865387523371143168,iPhone,"""President Donald J. Trump Proclaims 5/14/2017 through 5/20/2017 as #PoliceWeek""
Proclamation‚û°Ô∏è‚Ä¶ https://t.co/EcCsGaizWu",2017-05-19T02:03:58Z
865207118785372160,iPhone,"With all of the illegal acts that took place in the Clinton campaign &amp; Obama Administration, there was never a special counsel appointed!",2017-05-18T14:07:06Z
